Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"Microsoft-German","grundwissen-generative-ki-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Generative KI bereitgestellt von Microsoft und LinkedIn",87,0
"Blue Prism","ss-c-blue-prism-robotic-process-automation-professional-certificate","SS&C Blue Prism Robotic Process Automation Professional Certificate",33,18
"Anaconda","anaconda-python-for-data-science-professional-certificate","Anaconda Python for Data Science Professional Certificate",87,56
"Microsoft-Japanese","db7a11f9-df0e-3e7d-a939-7336613d54e6","オフィス業務に役立つ基礎知識 by Microsoft x LinkedIn",3,0
"Microsoft-French","se-preparer-au-metier-de-business-analyst-par-microsoft-et-linkedin","Se preparer au metier de business analyst par Microsoft et LinkedIn",19,0
"Linkedin","finance-for-managers-professional-certificate-by-linkedin-learning","Finance for Managers Professional Certificate by LinkedIn Learning",47,30
"CFI","cfi-financial-analysis-and-modeling-professional-certificate","CFI Financial Analysis and Modeling Professional Certificate",185,135
"Linkedin","becoming-a-manager-professional-certificate-by-linkedin-learning","Becoming a Manager Professional Certificate by LinkedIn Learning",153,99
"Oracle","oracle-cloud-data-management-foundations-workshop","Oracle Cloud Data Management Foundations Workshop (2022)",0,0
"Astronomer","data-engineering-foundations-professional-certificate-by-astronomer","Data Engineering Foundations Professional Certificate by Astronomer",52,35
"Oracle","oracle-autonomous-database-cert-prep-cloud-specialist-1z0-931-21","Oracle Autonomous Database",0,0
"Microsoft","build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin","Build Your Generative AI Productivity Skills with Microsoft and LinkedIn",484,316
"Microsoft","career-essentials-in-administrative-assistance-by-microsoft-and-linkedin","Career Essentials in Administrative Assistance by Microsoft and LinkedIn",445,278
"Microsoft-Japanese","4a5db555-4907-3b54-9d34-22ae8f098fc0","組織のリーダーのためのAI講座 by Microsoft x LinkedIn",12,4
